"Nazwa";"Typ";"Miejscowosc";"Gmina";"Poczta";"KodPoczt";"Ulica";"NrDomu";"Telefon";"eMail";"KategUcz";"Publiczn";"Powiat";"Specyfika";"lon";"lat"
"aAcademy Niepubliczna Integracyjna Szkoła Podstawowa z Oddziałami Specjalnymi";"Szkoła podstawowa";"Katowice";"M. Katowice";"Katowice";"40-710";"Zielongórska";"1";601290441;"a.nowinska@terapiairozwoj.com";"Dzieci lub młodzież";"niepubliczna o uprawnieniach szkoły publicznej";"Powiat m. Katowice";"brak specyfiki";18.97701;50.2252359
"Niepubliczna Szkoła Podstawowa FEP";"Szkoła podstawowa";"Katowice";"M. Katowice";"Katowice";"40-743";"Studencka";"20";322045908;"";"Dzieci lub młodzież";"niepubliczna o uprawnieniach szkoły publicznej";"Powiat m. Katowice";"brak specyfiki";18.9587991;50.2164437
"Szkoła Podstawowa nr 20 im. Tadeusza Rejtana";"Szkoła podstawowa";"Katowice";"M. Katowice";"Katowice";"40-854";"Zarębskiego";"2";322547699;"sp20@o2.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";18.998115;50.263791
"Szkoła Podstawowa nr 1 im. Marszałka Józefa Piłsudskiego";"Szkoła podstawowa";"Katowice";"M. Katowice";"Katowice";"40-035";"Jagiellońska";"18";322510688;"spnr1katowice@op.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";19.022008;50.254433
"SZKOŁA PODSTAWOWA";"Szkoła podstawowa";"Katowice";"M. Katowice";"Katowice";"40-126";"Grażyńskiego";"17";322584359;"biuro.nieslyszacy.katowice@gmail.com";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"specjalna";19.017575;50.2668834
"Szkoła Podstawowa nr 27";"Szkoła podstawowa";"Katowice";"M. Katowice";"Katowice";"40-648";"Łętowskiego";"18";322028188;"katsp27@poczta.onet.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";18.986163;50.2047388
"Szkoła Podstawowa nr 47 z Oddziałami Integracyjnymi";"Szkoła podstawowa";"Katowice";"M. Katowice";"Katowice";"40-309";"Grzegorzka";"4";322566148;"zsp3katowice@interia.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";19.0664761;50.2775445
"Szkoła Podstawowa - Specjalna nr 55 w Katowicach";"Szkoła podstawowa";"Katowice";"M. Katowice";"Katowice - Szopienice";"40-384";"Ks. Bpa. H. Bednorza";"13";322569067;"sekretariat@zss10.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"specjalna";19.0915909;50.2631395
"TECHNIKUM NR 14";"Technikum";"Katowice";"M. Katowice";"Katowice";"40-395";"SZOPIENICKA";"66";NA;"";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";19.0846124;50.2522252
"Technikum nr 1";"Technikum";"Katowice";"M. Katowice";"Katowice";"40-326";"Techników";"11";322566372;"zsb@onet.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";19.0621175;50.2738107
"Technikum nr 12";"Technikum";"Katowice";"M. Katowice";"Katowice - Piotrowice";"40-659";"Harcerzy Września 1939r.";"2";322028255;"technikum12@abramowski.edu.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";18.9754693;50.2121413
"Technikum Nr 18";"Technikum";"Katowice";"M. Katowice";"Katowice";"40-671";"Armii Krajowej";"84";NA;"";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";18.9738729;50.209018
"TECHNIKUM NR 16 W ZESPOLE SZKÓŁ NR 2";"Technikum";"Katowice";"M. Katowice";"Katowice";"40-749";"GOETLA";"2";322556131;"zsz2murcki@poczta.onet.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";19.0433229;50.2023196
"Technikum nr 7";"Technikum";"Katowice";"M. Katowice";"Katowice";"40-861";"Gliwicka";"228";322540626;"zs7.katowice@op.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";18.9714259;50.270638
"Technikum nr 13";"Technikum";"Katowice";"M. Katowice";"Katowice";"40-870";"Al. B. Krzywoustego";"13";322543048;"sekretariat@mielczarski.katowice.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";18.9779738;50.2755857
"Technikum Nr 5";"Technikum";"Katowice";"M. Katowice";"Katowice";"40-358";"Gen.Józefa Hallera";"60";NA;"";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";19.073725;50.27261
"Technikum nr 10";"Technikum";"Katowice";"M. Katowice";"Katowice";"40-384";"Ks. Bpa H. Bednorza";"15";323518220;"zsps@alpha.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";19.0910504;50.2631704
"Technikum nr 3";"Technikum";"Katowice";"M. Katowice";"Katowice";"40-382";"Roździeńska";"25";322569823;"zsgkatowice@wp.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";19.0784059;50.263587
"Niepubliczne Technikum dla Dorosłych AWANS w Katowicach";"Technikum";"Katowice";"M. Katowice";"Katowice";"40-863";"Sokolska";"23";327823164;"ck-awans@tlen.pl";"Dorośli";"niepubliczna o uprawnieniach szkoły publicznej";"Powiat m. Katowice";"brak specyfiki";19.0189092;50.2632005
"Technikum Zakładu Doskonalenia Zawodowego w Katowicach";"Technikum";"Katowice";"M. Katowice";"Katowice";"40-952";"ŚW. Jacka";"3";322564115;"s-katow1@zdz.katowice.pl";"Dzieci lub młodzież";"niepubliczna o uprawnieniach szkoły publicznej";"Powiat m. Katowice";"brak specyfiki";19.03196;50.256083
"Technikum Lotnicze Zakładu Doskonalenia Zawodowego";"Technikum";"Katowice";"M. Katowice";"Katowice";"40-092";"Mickiewicza";"16";323530122;"s-lot@zdz.katowice.pl";"Dzieci lub młodzież";"niepubliczna o uprawnieniach szkoły publicznej";"Powiat m. Katowice";"brak specyfiki";19.0194567;50.2606251
"Technikum Akademii Artystycznej";"Technikum";"Katowice";"M. Katowice";"Katowice";"40-017";"Graniczna";"27";327001230;"biuro@bujnowicz.pl";"Dzieci lub młodzież";"niepubliczna o uprawnieniach szkoły publicznej";"Powiat m. Katowice";"brak specyfiki";19.0352629;50.2547576
"Technikum Nr 2";"Technikum";"Katowice";"M. Katowice";"Katowice";"40-074";"Raciborska";"3";322516801;"bip@zse-korfanty.katowice.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";19.0088935;50.2549878
"Technikum Nr 17";"Technikum";"Katowice";"M. Katowice";"Katowice";"40-086";"Sokolska";"26";323511923;"sltzn@sltzn.edu.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";19.016482;50.264026
"Technikum nr 8";"Technikum";"Katowice";"M. Katowice";"Katowice";"40-092";"Mickiewicza";"16";322588314;"sekretariat@tech8katowice.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";19.0194567;50.2606251
"Technikum Nr 15 im. Tomasza Klenczara";"Technikum";"Katowice";"M. Katowice";"Katowice";"40-750";"Tadeusza Boya Żeleńskiego";"96";322020011;"klenczar@klenczar.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";19.0010566;50.180662
"Technikum Fotograficzne FOTOEDUKACJA";"Technikum";"Katowice";"M. Katowice";"KATOWICE 8";"40-659";"Harcerzy Września 1939r.";"3";322064681;"CENTRUM@FOTOEDUKACJA.EDU.PL";"Dzieci lub młodzież";"niepubliczna o uprawnieniach szkoły publicznej";"Powiat m. Katowice";"brak specyfiki";18.976978;50.212247
"Technikum nr 4";"Technikum";"Katowice";"M. Katowice";"Katowice";"40-592";"Mikołowska";"131";326096020;"sekretariat@zstio2.katowice.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";18.99599;50.244383
"Technikum Nr 20 dla Niesłyszących i Słabo Słyszących";"Technikum";"Katowice";"M. Katowice";"Katowice";"40-230";"Staszica";"2";322552084;"sekretariat@zs1.katowice.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"specjalna";19.0516486;50.2604655
"Technikum TEB Edukacja";"Technikum";"Katowice";"M. Katowice";"Uniwersytecka 4";"40-004";"Uniwersytecka";"4";323520777;"katowice@teb.pl";"Dzieci lub młodzież";"niepubliczna o uprawnieniach szkoły publicznej";"Powiat m. Katowice";"brak specyfiki";19.0258205;50.2613636
"ZESPÓŁ SZKÓŁ ZAWODOWYCH NR 3 IM. ADAMA KOCURA W KATOWICACH";"Zespół szkół i placówek oświatowych";"Katowice";"M. Katowice";"Katowice";"40-395";"SZOPIENICKA";"66";322557225;"sekretariat@zsz3.pl";"Bez kategorii";"publiczna";"Powiat m. Katowice";"";19.0846124;50.2522252
"Katowickie Centrum Edukacji Zawodowej";"Zespół szkół i placówek oświatowych";"Katowice";"M. Katowice";"Katowice";"40-326";"Techników";"11";322566372;"kcez.sekretariat@gmail.com";"Bez kategorii";"publiczna";"Powiat m. Katowice";"";19.0621175;50.2738107
"Zespół Szkół Technicznych i Ogólnokształcących Nr 3";"Zespół szkół i placówek oświatowych";"Katowice";"M. Katowice";"Katowice - Piotrowice";"40-659";"Harcerzy Września 1939r.";"2";322028255;"technikum12@abramowski.edu.pl";"Bez kategorii";"publiczna";"Powiat m. Katowice";"";18.9754693;50.2121413
"Zespół Szkół Poligraficzno-Mechanicznych im. Armii Krajowej w Katowicach";"Zespół szkół i placówek oświatowych";"Katowice";"M. Katowice";"Katowice";"40-671";"Armii Krajowej";"84";322028463;"poligrafic@wp.pl";"Bez kategorii";"publiczna";"Powiat m. Katowice";"";18.9738729;50.209018
"ZESPÓŁ SZKÓŁ NR 2 IM.J.IWASZKIEWICZA W KATOWICACH";"Zespół szkół i placówek oświatowych";"Katowice";"M. Katowice";"Katowice";"40-749";"GOETLA";"2";322556131;"zsz2murcki@poczta.onet.pl";"Bez kategorii";"publiczna";"Powiat m. Katowice";"";19.0433229;50.2023196
"ZESPÓŁ SZKÓŁ NR 7";"Zespół szkół i placówek oświatowych";"Katowice";"M. Katowice";"Katowice";"40-861";"Gliwicka";"228";322540626;"zs7.katowice@op.pl";"Bez kategorii";"publiczna";"Powiat m. Katowice";"";18.9714259;50.270638
"Zespół Szkół Zawodowych im.Romualda Mielczarskiego";"Zespół szkół i placówek oświatowych";"Katowice";"M. Katowice";"Katowice";"40-870";"Al. B. Krzywoustego";"13";322543048;"sekretariat@mielczarski.katowice.pl";"Bez kategorii";"publiczna";"Powiat m. Katowice";"";18.9779738;50.2755857
"Zespół Szkół Handlowych";"Zespół szkół i placówek oświatowych";"Katowice";"M. Katowice";"Katowice";"40-358";"Gen.Józefa Hallera";"60";322569934;"zshkatowice@interia.pl";"Bez kategorii";"publiczna";"Powiat m. Katowice";"";19.073725;50.27261
"Zespół Szkół Przemysłu Spożywczego";"Zespół szkół i placówek oświatowych";"Katowice";"M. Katowice";"Katowice";"40-384";"Ks. Bpa H. Bednorza";"15";323518220;"zsps@alpha.pl";"Bez kategorii";"publiczna";"Powiat m. Katowice";"";19.0910504;50.2631704
"Zespół Szkół Gastronomicznych im. Gustawa Morcinka w Katowicach";"Zespół szkół i placówek oświatowych";"Katowice";"M. Katowice";"Katowice";"40-382";"Roździeńska";"25";322569823;"zsgkatowice@wp.pl";"Bez kategorii";"publiczna";"Powiat m. Katowice";"";19.0784059;50.263587
"Zespół Szkół Zawodowych Specjalnych nr 6";"Zespół szkół i placówek oświatowych";"Katowice";"M. Katowice";"Katowice";"40-555";"Rolna";"22";322542419;"korczakzsz@wp.pl";"Bez kategorii";"publiczna";"Powiat m. Katowice";"";18.985795;50.231915
"Zespół Szkolno - Przedszkolny nr 1 w Katowicach";"Zespół szkół i placówek oświatowych";"Katowice";"M. Katowice";"Katowice";"40-106";"Sportowa";"29";322546601;"sp18katowice@interia.pl";"Bez kategorii";"publiczna";"Powiat m. Katowice";"";18.9974806;50.2741209
"Zespół Szkolno- Przedszkolny nr 2";"Zespół szkół i placówek oświatowych";"Katowice";"M. Katowice";"Katowice- Piotrowice";"40-685";"Sobańskiego";"86";322029320;"SP32K_ce@poczta.onet.pl";"Bez kategorii";"publiczna";"Powiat m. Katowice";"";18.9635642;50.2077431
"Zespół Szkolno-Przedszkolny nr 4 w Katowicach";"Zespół szkół i placówek oświatowych";"Katowice";"M. Katowice";"Katowice";"40-214";"Wróblewskiego";"42-44";322583566;"trzynastkasp@wp.pl";"Bez kategorii";"publiczna";"Powiat m. Katowice";"";19.0420196;50.2678875
"Zespół Szkół Ogólnokształcących Nr 3";"Zespół szkół i placówek oświatowych";"Katowice";"M. Katowice";"Katowice";"40-881";"B. Chrobrego";"4";322546730;"sekretariat@zso3.katowice.pl";"Bez kategorii";"publiczna";"Powiat m. Katowice";"";18.9720759;50.2798359
"Zespół Szkół Zakonu Pijarów";"Zespół szkół i placówek oświatowych";"Katowice";"M. Katowice";"Katowice";"40-750";"Pijarska";"7";668864713;"katowice@pijarzy.pl";"Bez kategorii";"niepubliczna";"Powiat m. Katowice";"";18.9815431;50.1972386
"I Zespół Ogólnokształcących Szkół Społecznych im.S.Konarskiego STO";"Zespół szkół i placówek oświatowych";"Katowice";"M. Katowice";"Katowice";"40-066";"Mikołowska";"26";322512344;"sekretariat@stoszkola.pl";"Bez kategorii";"niepubliczna";"Powiat m. Katowice";"";19.0111579;50.254819
"Zespół Katolickich Szkół Ogólnokształcących nr 1";"Zespół szkół i placówek oświatowych";"Katowice";"M. Katowice";"Katowice";"40-026";"Kobylińskiego";"4";322552681;"sekretariat@klo.katowice.pl";"Bez kategorii";"niepubliczna";"Powiat m. Katowice";"";19.025974;50.2553349
"Zespół Katolickich Szkół Ogólnokształcących Nr 2";"Zespół szkół i placówek oświatowych";"Katowice";"M. Katowice";"Katowice";"40-208";"Ścigały";"17";323529950;"kaespe@poczta.onet.pl";"Bez kategorii";"niepubliczna";"Powiat m. Katowice";"";19.0391355;50.2650871
"Zespół Szkół OMEGA im. Górnosląskich Noblistów w Katowicach";"Zespół szkół i placówek oświatowych";"Katowice";"M. Katowice";"Katowice";"40-862";"Gliwicka";"276";322545124;"sekretariat@omegaszkola.pl";"Bez kategorii";"niepubliczna";"Powiat m. Katowice";"";18.963708;50.272571
"Zespół Szkół Ekonomicznych";"Zespół szkół i placówek oświatowych";"Katowice";"M. Katowice";"Katowice";"40-074";"Raciborska";"3";322516801;"bip@zse-korfanty.katowice.pl";"Bez kategorii";"publiczna";"Powiat m. Katowice";"";19.0088935;50.2549878
"Śląskie Techniczne Zakłady Naukowe";"Zespół szkół i placówek oświatowych";"Katowice";"M. Katowice";"Katowice";"40-086";"Sokolska";"26";323511923;"sltzn@sltzn.edu.pl";"Bez kategorii";"publiczna";"Powiat m. Katowice";"";19.016482;50.264026
"Zespół Szkół Ogólnokształcących Nr 1";"Zespół szkół i placówek oświatowych";"Katowice";"M. Katowice";"Katowice";"40-039";"SIENKIEWICZA";"74";322563601;"sekretariat@kopernik.katowice.pl";"Bez kategorii";"publiczna";"Powiat m. Katowice";"";19.0223708;50.2497774
"Zespół Szkół Ogólnokształcących dla Dorosłych w Katowicach";"Zespół szkół i placówek oświatowych";"Katowice";"M. Katowice";"Katowice";"40-097";"3 Maja";"42";322539978;"zsodd@op.pl";"Bez kategorii";"publiczna";"Powiat m. Katowice";"";19.015148;50.2594825
"Zespół Szkół Specjalnych Nr 8 w Katowicach";"Zespół szkół i placówek oświatowych";"Katowice";"M. Katowice";"Katowice";"40-006";"Szkolna";"5";322539570;"sp7gim25@wp.pl";"Bez kategorii";"publiczna";"Powiat m. Katowice";"";19.0262609;50.25927
"Zespół Szkół Specjalnych nr 9";"Zespół szkół i placówek oświatowych";"Katowice";"M. Katowice";"Katowice";"40-208";"Ścigały";"17";322047671;"zespolszkolnr9@gmail.com";"Bez kategorii";"publiczna";"Powiat m. Katowice";"";19.0391355;50.2650871
"Zespół Szkół Specjalnych nr 11";"Zespół szkół i placówek oświatowych";"Katowice";"M. Katowice";"Katowice";"40-852";"Gliwicka";"148a";322541867;"zss11@op.pl";"Bez kategorii";"publiczna";"Powiat m. Katowice";"";18.988286;50.26625
"ZESPÓŁ SZKÓŁ SPECJALNYCH NR12 W KATOWICACH";"Zespół szkół i placówek oświatowych";"Katowice";"M. Katowice";"Katowice";"40-718";"KOŁOBRZESKA";"8";322526773;"zss_nr12k@op.pl";"Bez kategorii";"publiczna";"Powiat m. Katowice";"";18.971203;50.2205899
"Zespół Szkół Specjalnych nr 6 w Katowicach";"Zespół szkół i placówek oświatowych";"Katowice";"M. Katowice";"Katowice";"40-752";"Medyków";"16";322071675;"zss6@op.pl";"Bez kategorii";"publiczna";"Powiat m. Katowice";"";18.9506599;50.2238678
"Zespół Szkół Specjalnych Nr 7";"Zespół szkół i placówek oświatowych";"Katowice";"M. Katowice";"Janów";"40-414";"zamkowa";"2a";322557195;"zssnr7@poczta.onet.pl";"Bez kategorii";"publiczna";"Powiat m. Katowice";"";19.0852389;50.243331
"Zespół Szkół Ogólnokształcących nr 7";"Zespół szkół i placówek oświatowych";"Katowice";"M. Katowice";"Katowice";"40-832";"Witosa";"23";322540371;"sekretariat@zso7.katowice.pl";"Bez kategorii";"publiczna";"Powiat m. Katowice";"";18.972888;50.2592086
"Zespół Szkół Integracyjnych nr 1";"Zespół szkół i placówek oświatowych";"Katowice";"M. Katowice";"Katowice";"40-870";"Bolesława Krzywoustego";"11";322543679;"serketariat@zsi1katowice.pl";"Bez kategorii";"publiczna";"Powiat m. Katowice";"";18.9779357;50.2749077
"Centrum Kształcenia Zawodowego i Ustawicznego Województwa Śląskiego w Katowicach";"Zespół szkół i placówek oświatowych";"Katowice";"M. Katowice";"Katowice";"40-304";"Wiertnicza";"3";322566100;"medyk.katowice@outlook.com";"Bez kategorii";"publiczna";"Powiat m. Katowice";"";19.0566957;50.2730241
"Zespół Szkół Technicznych i Ogólnokształcących Nr 2";"Zespół szkół i placówek oświatowych";"Katowice";"M. Katowice";"Katowice";"40-592";"Mikołowska";"131";326096020;"sekretariat@zstio2.katowice.pl";"Bez kategorii";"publiczna";"Powiat m. Katowice";"";18.99599;50.244383
"zespół szkolno-przeds zkolny dla Dzieci niesłyszących i słabo Słyszących";"Zespół szkół i placówek oświatowych";"Katowice";"M. Katowice";"Katowice";"40-126";"Grażyńskiego";"17";322584359;"biuro.nieslyszacy.katowice@gmail.com";"Bez kategorii";"publiczna";"Powiat m. Katowice";"";19.017575;50.2668834
"Zespół Szkolno - Przedszkolny nr 3 w Katowicach";"Zespół szkół i placówek oświatowych";"Katowice";"M. Katowice";"Katowice";"40-309";"Grzegorzka";"4";322566148;"zsp3katowice@interia.pl";"Bez kategorii";"publiczna";"Powiat m. Katowice";"";19.0664761;50.2775445
"Zespół Szkół Specjalnych nr 10 w Katowicach";"Zespół szkół i placówek oświatowych";"Katowice";"M. Katowice";"Katowice - Szopienice";"40-384";"Ks. Bpa. H. Bednorza";"13";322569067;"sekretariat@zss10.pl";"Bez kategorii";"publiczna";"Powiat m. Katowice";"";19.0915909;50.2631395
"Zespół Szkół Nr 1";"Zespół szkół i placówek oświatowych";"Katowice";"M. Katowice";"Katowice";"40-230";"Staszica";"2";322552084;"sekretariat@zs1.katowice.pl";"Bez kategorii";"publiczna";"Powiat m. Katowice";"";19.0516486;50.2604655
